"Номер","Наименование","Субъект РФ","Полный адрес","Дата занесения в реестр"
72,"Физкультурно-оздоровительный комплекс ГБУ г.Москвы "ЦСП "Крылатское" Москомспорта","Москва","Окружной проезд, 15 А, Москва, Россия, 105713","13.09.2012"
73,"Футбольное поле г. Новокуйбышевск","Самарская область","проспект Победы, 1 Б, Новокуйбышевск, Россия, 446206","13.09.2012"
74,"Универсальный спортивный комплекс "Олимп" г. Тольятти","Самарская область","Приморский бульвар, 49, Тольятти, Россия, 445973","13.09.2012"
75,"Стадион "Олимп" г. Геленждик","Краснодарский край","ул. Мира, 26-Б, Кабардинка, Россия, 353480","13.09.2012"
76,"Автономное учреждение Чувашской Республики «Физкультурно-оздоровительный центр «Росинка» Министерства по физической культуре, спорту и туризму Чувашской Республики города Чебоксары Чувашской Республики","Чувашская Республика","Московский район, Заволжье, Чебоксары, Россия, 428002","21.09.2012"
77,"Государственное бюджетное образовательное учреждение дополнительного образования детей спортивной направленности СДЮСШОР № 22 "Глория"","Москва","Зоологическая ул, 26, Москва, Россия, 123056","01.10.2012"
78,"Игровой зал МБОУ ДОД СДЮСШОР "Киокушинкай" г. Перми","Пермский край","ул. Крисанова, 11а, Пермь, Россия, 614068","16.10.2012"
79,"Ледовый дворец  муниципального учреждения "Спортивный комплекс "Дмитров"","Московская область","ул. Профессиональная, 25, Дмитров, Россия, 141800","25.10.2012"
80,"Центр фигурного катания и керлинга МУ "Спортивный комплекс "Дмитров"","Московская область","ул. Профессиональная, 25, Дмитров, Россия, 141800","25.10.2012"
81,"Многофункциональный спортивный комплекс "Баскет - Холл"","Краснодарский край","Пригородная, 24, Краснодар, Россия, 350087","25.10.2012"
82,"Спортивный комплекс ГУП Саратовской области "Региональный центр спортивной подготовки"","Саратовская область","ул. 5-ая Дачная, Саратов, Россия, 410033","25.10.2012"
83,"МБОУ ДОД ДЮСШ "Авангард"","Краснодарский край","ул. Таманской Армии, 209, Белореченск, Россия, 353633","25.10.2012"
84,"МАОУ ДОД ДЮСШ  № 3","Краснодарский край","ул. Ленина, 117, Белореченск, Россия, 352630","26.10.2012"
85,"Спортивный центр "Юность"","Пензенская область","Гагарина, 6, Пенза, Россия, 440039","26.10.2012"
86,"Спортивная школа Олимпийского резерва по греко-римской борьбе","Республика Мордовия","Пролетарская, 39, Саранск, Россия, 430000","30.10.2012"
87,"Спортивный комплекс "Звездный"","Краснодарский край","Симонова, 137, Гулькевичи, Россия, 352190","25.10.2012"
88,"МАСОУ "Зоркий" Спорткомплекс "Красногорск"","Московская область","Вокзальная, 25Ас1, Красногорск, Россия, 143400","06.11.2012"
89,"МБУ МО Кореновский район "Кореновский районный спортивный комплекс"","Краснодарский край","Фрунзе, 180 Г, Кореновск, Россия, 353182","06.11.2012"
90,"Зал спортивных игр, учебный корпус № 2 ФГБОУ ВПО СибГУФК","Омская область","Масленникова, 144, Омск, Россия, 644009","06.11.2012"
91,"Плавательный бассейн "Альбатрос" ФГБОУ ВПО СибГУФК","Омская область","Масленникова, 144, Омск, Россия, 644009","06.11.2012"
92,"Спортивная универсальная площадка","Владимирская область","Ленина, 138, Суздаль, Россия, 601293","13.11.2012"
93,"Физкультурно-оздоровительный корпус","Владимирская область","Ленина, 138, Суздаль, Россия, 601293","13.11.2012"
94,"Стадион "Арена Химки"","Московская область","Кирова, 24, Химки, Россия, 141400","26.11.2012"
95,"Дворец спорта "Юность"","Челябинская область","Свердловский проспект, 51, Челябинск, Россия, 454091","27.11.2012"
96,"Легкоатлетический манеж СДЮСШОР № 1 г. Перми","Пермский край","Краснова, 23, Пермь, Россия, 614039","28.11.2012"
97,"Тренировочный центр дзюдо","Кемеровская область","ул. Гагарина, 124сА, Кемерово, Россия, 650099","28.11.2012"
98,"Муниципальное учреждение "Дворец спорта "Восток"","Московская область","Гагарина, 55, Орехово-Зуево, Россия, 142600","30.11.2012"
99,"Стадион "Новые Химки"","Московская область","Машинцева, 2, Химки, Россия, 141400","30.11.2012"
100,"Спортивный комплекс "Кристалл"","Самарская область","Чапаева, 54, Сызрань, Россия, 446001","30.11.2012"
101,"Стадион "Старт"","Республика Мордовия","Московская, 12, Саранск, Россия, 430005","30.11.2012"
102,"Универсальный дворец спорта "Пермские медведи"","Пермский край","Рабочая, 9, Пермь, Россия, 614087","03.12.2012"
103,"Спортивный комплекс "Мордовия"","Республика Мордовия","Строительная, 13, Саранск, Россия, 430030","05.12.2012"
104,"Универсальный дворец спорта "Молот"","Пермский край","Лебедева, 13, Пермь, Россия, 614107","05.12.2012"
105,"Волейбольно-спортивный центр","Московская область","Маршала Жукова, 22, Одинцово, Россия, 143000","06.12.2012"
106,"Совмещенный комплекс для проведения соревнований по лыжным гонкам и биатлону","Краснодарский край","Ачипсинская, 8/12а, Эстосадок, Россия, 354392","11.12.2012"
107,"Дворец спорта имени Ивана Ярыгина","Красноярский край","остров Отдыха, 12, Красноярск, Россия, 660093","12.12.2012"
108,"Культурно-спортивный центр","Республика Коми","Димитрова, 14/1, Сыктывкар, Россия, 167000","13.12.2012"
