"Номер","Наименование","Субъект РФ","Полный адрес","Дата занесения в реестр"
1561,"Бассейн (комплексное здание с бассейном), Стадион МАУ "Олимп"","Самарская область","Куйбышева, 16, Суходол, Россия, 446552","28.05.2015"
1562,"Конноспортивный комплекс ООО "ВИОЛА"","Самарская область","Керамическая, 4, Сызрань, Россия, 446028","28.05.2015"
1563,"Физкультурно-спортивный комплекс и футбольное поле","Самарская область","Зои Космодемьянской, 17 а, Самара, Россия, 443115","28.05.2015"
1564,"МБОУ ДОД ДЮСШ №4 г. Новошахтинска","Ростовская область","Горняцкая, 46, Новошахтинск, Россия, 346918","28.05.2015"
1565,"Зал спортивный универсальный","г. Москва","Новочеремушкинская, 64с4, Москва, Россия, 117133","28.05.2015"
1566,"Здание легкоатлетического манежа МБОУ ДОД СДЮСШОР г.о. г. Шарья","Костромская область","Центральная, 24-а, Шарья, Россия, 157510","28.05.2015"
1567,"Плавательный бассейн РРСО ВФСО "Динамо"","Ростовская область","Текучева, 147-149/2/1, Ростов-на-Дону, Россия, 344000","28.05.2015"
1568,"Спортивный зал с плавательным бассейном МБОУ ДОД ДЮСШ Песчанокопского района","Ростовская область","Азовская, 52, Песчанокопское, Россия, 347570","28.05.2015"
1569,"Спортзал спортивной гимнастики ООО "ВЦСГ "СпортАрт"","Вологодская область","Клубова, 1, Вологда, Россия, 160004","28.05.2015"
1570,"Стадион "Андрей-Арена"","Краснодарский край","Победы, 1/1, Афипский, Россия, 353235","28.05.2015"
1571,"Футбольное поле с искусственным покрытием","Самарская область","база отдыха "Волжанка", Волжская волость, Россия, 443122","28.05.2015"
1572,"Гребная база "Олимп"","Новгородская область","наб. Александра Невского, 18, Великий Новгород, Россия, 173000","28.05.2015"
1573,"Спорткомплекс: Зал спортивный универсальный ОАО "Лечебно-оздоровительный комплекс "Дом отдыха Колонтаево"","Московская область","Колонтаево, Россия, 142440","29.05.2015"
1574,"Спорткомплекс МКОУ ДОД ДЮСШ п. Ленинская Искра Котельничского района Кировской области","Кировская область","Ленина, 8 а, Ленинская Искра, Россия, 612641","29.05.2015"
1575,"Спортивный манеж","Свердловская область","Бакинских комиссаров, 6, Екатеринбург, Россия, 620088","05.06.2015"
1576,"Плавательный бассейн","Свердловская область","Фестивальная, 8сБ, Екатеринбург, Россия, 620088","05.06.2015"
1577,"Лыжная база","Свердловская область","Бакинских комиссаров, 13, Екатеринбург, Россия, 620088","05.06.2015"
1578,"Поле для стрельбы из лука и арбалета МБОУ ДОД "ДЮСШ "Фаворит"","Рязанская область","район Лесопарка, Рязань, Россия, 390000","05.06.2015"
1579,"Отдельностоящее здание (Хоккейный стадион "Торпедо")","Нижегородская область","Лоскутова, 10, Нижний Новгород, Россия, 603004","05.06.2015"
1580,"Стрелковый тир МБОУ ДОД ДЮСШ "Фаворит"","Рязанская область","Тимакова, 9, Рязань, Россия, 390048","05.06.2015"
1581,"Крытый каток с искусственным льдом","Омская область","Первомайская, 55 А, Исилькуль, Россия, 644043","05.06.2015"
1582,"Конноспортивный комплекс (конюшни с манежем) КФХ Балиной Л.А.","Самарская область","крестьянское фермерское хозяйство Балиной Л.А., Подстепки, Россия, 445143","02.06.2015"
1583,"Открытое конкурное поле ГБУ КК "ЦСП №7"","Краснодарский край","Гаражная, 27 а, Октябрьский, Россия, 353814","02.06.2015"
1584,"Арена ледовая крытая универсальная с катком","Республика Татарстан","пр. Победы, 36, Заинск, Россия, 423520","02.06.2015"
1585,"Каток с искусственным льдом","Омская область","Ленина, 7 А, Тюкалинск, Россия, 646330","02.06.2015"
1586,"Физкультурно-оздоровительный комплекс с плавательным бассейном","Омская область","Солнечная, 44, Саргатское, Россия, 646400","02.06.2015"
1587,"Конноспортивный манеж (корпус №3)","Краснодарский край","Гаражная, 23, Октябрьский, Россия, 353814","02.06.2015"
1588,"Спортивно-оздоровительный комплекс "Юность"","Тюменская область","6 мкр., Лянтор, Россия, 628449","02.06.2015"
1589,"Конноспортивный комплекс ИП Коршунов А.В.","Самарская область","участок 1, Мирный, Россия, 446377","02.06.2015"
1590,"Футбольное поле МКУ ДО "ДЮСШ Коченовского района"","Новосибирская область","М. Горького, 200, Коченово, Россия, 632640","01.06.2015"
1591,"Крытый каток с искусственным льдом ЛДС "Звездный"","Новосибирская область","Новосибирская, 17, Новосибирск, Россия, 630136","01.06.2015"
1592,"Трасса радиоуправляемых  шоссейно-кольцевых автомоделей","Ростовская область","пер. 1-й Новый, 8, Таганрог, Россия, 347942","01.06.2015"
1593,"Крытый каток","Омская область","Школьная, 38 А, Екатеринославка, Россия, 646703","01.06.2015"
1594,"Спортивно-оздоровительный комплекс МОУ ДОД ДЮСШ 1 К №5","Ростовская область","молодежная, 24, Волгодонск, Россия, 347368","01.06.2015"
1595,"Легкоатлетический манеж МОУ ДОД ДЮСШ","Курганская область","Матросова, 79 а, Катайск, Россия, 641700","01.06.2015"
1596,"Многофункциональный спортивный зал "Зенит"","Тюменская область","Дружбы Народов, 18 а, Муравленко, Россия, 629603","01.06.2015"
1597,"Семь залов спортивных универсальных МБОУ ДОД "ДЮСШ №4"","Красноярский край","Энтузиастов, 9, Норильск, Россия, 663333","02.06.2015"
1598,"Зал универсальный МБОУ ДОД ДЮСШ №7","Ростовская область","Максима Горького, 274, Ростов-на-Дону, Россия, 344019","01.06.2015"
1599,"Здание культурно-спортивного комплекса (игровой зал, зал единоборств) МБОУ ДОД "Исакогорский ДЮЦ"","Архангельская область","Вычегодская, 19с2, Архангельск, Россия, 163038","01.06.2015"
1600,"Крытое футбольное поле стадиона "Красная звезда"","Омская область","Масленникова, 142/1, Омск, Россия, 644009","10.06.2015"
1601,,,"Россия",
1602,"Спортивно-оздоровительный комплекс","Свердловская область","Ткачей, 11, Екатеринбург, Россия, 620100","10.06.2015"
1603,"Спортивные залы ОГОБУДОД "КДЮСШ единоборств "Динамо" им. В.А. Шершунова","Костромская область","Депутатская ул, 49, Кострома, Россия, 156002","09.06.2015"
1604,"МБУ Спортивный комплекс "Кайеркан" (Дом спорта)","Красноярский край","Надеждинская, 3-А, Норильск, Россия, 663340","08.06.2015"
1605,"Физкультурно-оздоровительный комплекс "Надежда"","Самарская область","Космонавтов, 1 а, Сызрань, Россия, 446029","08.06.2015"
1606,"Легкоатлетический манеж ГАУ ТО "СК "Центральный"","Тюменская область","Луначарского, 12, Тюмень, Россия, 625000","08.06.2015"
1607,"Горнолыжный курорт "Такман"","Пермский край","р-он Такманаиха, Чусовой, Россия, 618200","08.06.2015"
1608,"Арена крытая трансформируемая постоянная","Орловская область","Скворцова, 5, Орел, Россия, 302020","08.06.2015"
1609,"Плавательный бассейн "Садко"","Ростовская область","Заводская, 20, Таганрог, Россия, 347905","08.06.2015"
1610,"Универсальный спортивно-развлекательный комплекс","Ульяновская область","пересечение улицМинаева-Железной дивизии, Ульяновск, Россия, 432017","08.06.2015"
1611,"Челябинский городской дворец творчества учащейся молодежи. Спортивный корпус МАУ ДОД ДПШ им. Н.К. Крупской г. Челябинска","Челябинская область","Свердловский проспект, 59, Челябинск, Россия, 454080","08.06.2015"
1612,"Дом спорта (спортивный зал для игровых видов спорта и бассейн) - МБОУ ДОД "КДЮСШ"","Республика Хакасия","Кирова , 10 А, Сорск, Россия, 655111","08.06.2015"
1613,"Физкультурно-оздоровительный комплекс ПАО "Северсталь"","Вологодская область","Сталеваров, 45А, Череповец, Россия, 162608","08.06.2015"
1614,"МБОУ ДОД г. Владмира "СДЮСШОР по спортивной гимнастике им. Н.Г. Толкачева"","Владимирская область","Спортивный пер., 1, Владимир, Россия, 600020","05.06.2015"
1615,"Спортивный комплекс "Олимп" ФГУП "ПО "Октябрь"","Свердловская область","Ленина, 9, Каменск-Уральский, Россия, 623420","05.06.2015"
1616,"Зал спортивный ГАОУ СО Дворец молодежи","Свердловская область","проспект Ленина, 1, Екатеринбург, Россия, 620014","05.06.2015"
1617,"Спортивный зал ЗУОК "Солнечный" - филиала РАНХиГС","Московская область","8 Марта, 22, Поварово, Россия, 141540","05.06.2015"
1618,"Закрытый плавательный бассейн, примыкающий к гостинице на 180 мест","Краснодарский край","Ачипсинская , 26 а, Сочи, Россия, 354392","05.06.2015"
1619,"Крытый ледовый каток с искусственным льдом МОБУ ДОД СДЮСШОР "Клин спортивный"","Московская область","Карла Маркса, 101, Клин, Россия, 141612","11.06.2015"
1620,"ОБОУ ДОД "Областная специализированная детско-юношеская спортивная школа олимпийского резерва"","Курская область","Мирная, 10, Курск, Россия, 305004","11.06.2015"
1621,"Спорткомплекс "Геолог"","Томская область","Мира, 57, Александровское, Россия, 636760","11.06.2015"
1622,"Хоккейная площадка","Московская область","Советская, Вербилки, Россия, 141930","11.06.2015"
1623,"Ледовый дворец с трибунами МАУ "Спортивный парк "Алексеевский" Алексеевского района Белгородской области","Белгородская область","Спортивная, 54, Алексеевка, Россия, 309850","11.06.2015"
1624,"Стадион "Строитель" МАУ ГСК "Салават"","Республика Башкортостан","Пархоменко, 8, Салават, Россия, 453250","11.06.2015"
1625,"МБУ "Спортивно-оздоровительный комплекс"","Челябинская область","МКР-1, 1, Усть-Катав, Россия, 456040","11.06.2015"
1626,"Специализированный комплекс с залами "Санкт-Петербургский клуб спортивных единоборств "Волна"","Санкт-Петербург","Ленсовета ул, 11сА, Санкт-Петербург, Россия, 196135","11.06.2015"
1627,"Универсальный спортивный зал (здание спортивного зала) МАУ ГСК "Салават"","Республика Башкортостан","Островского, 25, Салават, Россия, 453250","11.06.2015"
1628,"Республиканский Спортивный комплекс г. Назрань - Стадион им. Р. Аушева","Республика Ингушетия","Фабричная, 3, Назрань, Россия, 386100","11.06.2015"
1629,"Физкультурно-оздоровительный комплекс","Ярославская область","Е. Колесовой, 58 а, Ярославль, Россия, 150000","11.06.2015"
1630,"Спортивная школа (многофункциональный спортивный комплекс)","Амурская область","Ленина, 46, Благовещенск (Амурская обл.), Россия, 675025","11.06.2015"
1631,"Дом спорта "Юность"","Иркутская область","Молодежная, 24, Усть-Илимск, Россия, 666685","11.06.2015"
1632,"ЛГМАУ "Водно-спортивный комплекс "Дельфин"","Тюменская область","Солнечная, 19 а, Лангепас, Россия, 628672","11.06.2015"
1633,"Общественное учреждение "Новгородский областной Дворец Спорта"","Новгородская область","Десятинная, 9, Великий Новгород, Россия, 173007","11.06.2015"
1634,"Физкультурно-оздоровительный комплекс "Светлогорский"","Калининградская область","Яблоневая, 13, Светлогорск, Россия, 238563","11.06.2015"
1635,"Крытая площадка с искусственным льдом МАОУ ДОД ЦДОД","Пермский край","Куйбышева, 11 А, Красновишерск, Россия, 618590","11.06.2015"
1636,"Универсальный спортивный зал физкультурно-оздоровительного комплекса ДЮСШ Кольского района","Мурманская область","пр-т Защитников Заполярья , 3, Кола, Россия, 184381","11.06.2015"
1637,"МОБУ ДОД Гаврилов-Ямская ДЮСШ (бассейн, игровой зал)","Ярославская область","Молодежная, 7, Гаврилов Ям, Россия, 152240","18.06.2015"
1638,"Здание Дворца спорта "Кристалл" МБУ ДС "Кристалл"","Белгородская область","Королева, 30, Губкин, Россия, 309183","18.06.2015"
1639,"ФОК крытый постоянный с бассейном 25 м,бассейном менее 25 м и универсальным спортивным залом МБУ ДО ДЮСШ","Ханты-Мансийский автономный округ","Путейская, 16, Мортка, Россия, 628206","11.06.2015"
1640,"Футбольное поле Центра отдыха и спорта "Филимоновский"","Московская область","1 Мая, 40 а, Павловский Посад, Россия, 142506","11.06.2015"
1641,"Бассейн БУДО г. Омска "СДЮСШОР №6"","Омская область","Таубе, 2, Омск, Россия, 644043","11.06.2015"
1642,"Крытый тренировочный каток с искусственным льдом в г. Кирове КОГАУДО ДЮСШ "Дымка"","Кировская область","Воровского, 175, Киров, Россия, 610048","11.06.2015"
1643,"Здание ДЮСШ с хоккейным кортом","Тюменская область","Полугорная, 62, Заводоуковск, Россия, 627142","11.06.2015"
1644,"Универсальный спортивный зал МУП СКК "Спектр"","Вологодская область","наб. Пречистенская, 44 а, Вологда, Россия, 160035","11.06.2015"
1645,"Плавательный бассейн оздоровительно-досугового центра МБУ "ФСК "Фортуна"","Ямало-Ненецкий автономный округ","мкрн.7, 4, Губкинский, Россия, 629830","11.06.2015"
1646,"Стрелковый тир (ССК "Валерия")","Воронежская область","Куйбышева, 23, Воронеж, Россия, 394957","11.06.2015"
1647,"Шахматный клуб МБУ "ФСК "Фортуна"","Ямало-Ненецкий автономный округ","мкрн.4, 24, Губкинский, Россия, 629830","11.06.2015"
1648,"Физкультурно-оздоровительный комплекс ГБОУ ДО Калужской области "ДЮСШ"","Калужская область","Ворошилова, 39, Сухиничи, Россия, 249275","11.06.2015"
1649,"МБОУ ДОД "ДЮСШ №3"","Красноярский край","Орджоникидзе, 14А, Норильск, Россия, 663318","11.06.2015"
1650,"КСК "Юбилейный"","Тюменская область","Назаргалеева, 21, Лянтор, Россия, 628449","11.06.2015"
1651,"Трасса для проведения шоссейно-кольцевых автомобильных гонок серии "Формула-1"","Краснодарский край","Имеретинская низменность, Сочи, Россия, 350063","11.06.2015"
1652,"Конно-спортивный комплекс"Пегас"","г. Москва","КФХ "Пегас", 1, Краснопахорское, Россия","11.06.2015"
1653,"Тренировочное футбольное поле с исскуственным травяным покрытием и системой подогрева ООО "ФК "Томь"","Томская область","Центр Делового сотрудничества и отдыха Томь, Калтай, Россия, 634522","11.06.2015"
1654,"Универсальный спортивный зал МБОУ ДОД ДЮСШ "Олимпик"","Ростовская область","Рижская, 7, Зверево, Россия, 346311","11.06.2015"
1655,"Крытый каток МБОУ ДОД СДЮСШОР №1","Республика Башкортостан","Гвардейская, 58с5, Уфа, Россия, 450083","11.06.2015"
1656,"Спорткомплекс ЧУ "Физкультурно-оздоровительный комплекс "Гагаринский" ОАО "ПНТЗ"","Свердловская область","Юго-Западная часть 57 км. Первоуральского  лесничества Билимбаевского лесхоза, Первоуральск, Россия, 623100","11.06.2015"
1657,"Спортивный комплекс "Автомобилист"","Ярославская область","Свердлова, 49-а, Ярославль, Россия, 150054","11.06.2015"
1658,"Спортивный зал "Атлетик"МБОУ ДОД "СДЮСШОР "Спартак"","Тюменская область","Набережная, Нефтеюганск, Россия, 628306","11.06.2015"
1659,"МБОУ ДОД ДЮСШШ. Турнирный зал.","Краснодарский край","Кирова, 50, Армавир, Россия, 352900","17.06.2015"
1660,"Физкультурно-спортивный комплекс "Олимп"","Белгородская область","Советская, 178 б, Прохоровка, Россия, 309000","16.06.2015"
1661,"Спортивный центр "Сибирь" с.Большое Сорокино","Тюменская область","Ленина, 59, Большое Сорокино, Россия, 627500","16.06.2015"
1662,"СК "Дельфин" (2 очередь) МБУ "Спорт-Альтаир"","Тюменская область","Пионерская, 20, Мегион, Россия, 628681","15.06.2015"
1663,"МБУ "Спортивный комплекс "Кайеркан" (Плавательный бассейн)","Красноярский край","Надеждинская, 16-а, Норильск, Россия, 663340","15.06.2015"
1664,"Футбольное поле и хоккейный корт Спортклуба "Гидравлик"","Курганская область","Матросова, 79а, Катайск, Россия, 641700","15.06.2015"
1665,"Спортивно-оздоровительный центр МАУ "СК "Нейтрон"","Ульяновская область","Ленина, 17-А, Димитровград, Россия, 433506","15.06.2015"
1666,"Стадион "Экспресс"","Псковская область","Малышева, 11 а, Великие Луки, Россия, 182100","16.06.2015"
1667,"Ледовая арена "Темп"","Тамбовская область","Мартовская, 5а, Мичуринск, Россия, 393761","16.06.2015"
1668,"Универсальный спортивный зал ГАУ ДО ТО "ЦОП "Тюмень-дзюдо"","Тюменская область","Валерии Гнаровской, 1, Тюмень, Россия, 625007","16.06.2015"
1669,"Ледовый комплекс "Айс-Арена"","Ростовская область","пр. Коммунистический, 36/4, Ростов-на-Дону, Россия, 344081","16.06.2015"
1670,"Ледовая арена "Олимп"","Омская область","Ленина ул, 1 А, Тара, Россия, 644043","16.06.2015"
1671,"Лыжная база с лыжероллерными и лыжными трассами МАУ "Лыжная база "Снежинка"","Пермский край","район д.Новожилово, Березники, Россия, 618426","15.06.2015"
1672,"Поле для мини-футбола","Республика Алтай","пер. Спортивный, 14, Горно-Алтайск, Россия, 649000","15.06.2015"
1673,"Футбольное поле","Республика Алтай","пер. Спортивный, 14, Горно-Алтайск, Россия, 649000","15.06.2015"
1674,"Универсальный спортивный зал многофункционального физкультурно-оздоровительного комплекса МАУ "СК "Нейтрон"","Ульяновская область","Курчатова, 3-Б, Димитровград, Россия, 433506","15.06.2015"
1675,"Площадка для волейбола","Республика Алтай","пер. Спортивный, 14, Горно-Алтайск, Россия, 649000","15.06.2015"
1676,"Физкультурно-оздоровительный комплекс МБОУ ДОД ДЮСШ боевых искусств","Вологодская область","Предтеченская, 8, Вологда, Россия, 160000","26.06.2015"
1677,"Здание спорткомплекса","Архангельская область","пр.Никольский, 25, Архангельск, Россия, 163020","26.06.2015"
1678,"Спортивный зал","Ростовская область","пр.Атаманский, 250, Семикаракорск, Россия, 346630","26.06.2015"
1679,"Ледовый дворец","Владимирская область","Мира, 36 г, Владимир, Россия, 600017","26.06.2015"
1680,"Здание малозатратного спортивного зала","Ростовская область","пер. Школьный, 2-а, Углегорский, Россия, 347070","26.06.2015"
1681,"Стрелково-стендовый комплекс МОО ВОО УрВО","Свердловская область","Щербакова, 120, Екатеринбург, Россия, 620076","26.06.2015"
1682,"МУ ДО "Кизильская ДЮСШ"","Челябинская область","Комсомольская, 60, Кизильское, Россия, 457610","26.06.2015"
1683,"Лыжный комплекс МАУ СОК "Изумруд"","Вологодская область","Ленинградское шоссе 32 километр, Старосельский сельский совет, Россия, 160000","26.06.2015"
1684,"Зал спортивный крытый универсальный ЗАО "Салон брендовой одежды Комфорт"","Иркутская область","Кожова, 10, Иркутск, Россия, 664022","26.06.2015"
1685,"МАУ стадион "Амурсельмаш"","Амурская область","переулок Весенний, 11, Белогорск, Россия, 676853","25.11.2014"
1686,"Спортивный комплекс "Прибой" (спортивный зал с трибунами) МАОУ ДОД СДЮСШОР "Прибой"","Тюменская область","проезд Борцов Октября, 2ас1, Тюмень, Россия, 625048","26.06.2015"
1687,"Крытый каток "Прибой" МАОУ ДОД СДЮСШОР "Прибой"","Тюменская область","проезд Борцов Октября, 2ас1, Тюмень, Россия, 625048","26.06.2015"
1688,"Арена ледовая крытая","Свердловская область","А. Королева, 30, Асбест, Россия, 624260","26.06.2015"
1689,"Лыжная трасса с твердым покрытием (лыжероллерная)","Тюменская область","Лянтор, Россия, 628452","26.06.2015"
1690,"Спортивный зал (игровой зал) МБОУ ДОД ДЮСШ №8 "Юность"","Липецкая область","Ударников, 13б, Липецк, Россия, 398902","26.06.2015"
1691,"Футбольное поле №1 ВТБ УТБ "Новогорск-Динамо"","Московская область","Соколовская, 8, Химки, Россия, 125167","26.06.2015"
1692,"Спортивный зал ЧУ "Стадион "Труд"","Архангельская область","им.Дыбцына, 13с2, Коряжма, Россия, 165651","26.06.2015"
1693,"Здание спортивного зала","Приморский край","К.Маркса, 65А, Покровка, Россия, 692561","26.06.2015"
1694,"МБОУ ДОД СДЮСШОР №4 Лазаревского района г.Сочи","Краснодарский край","Малышева, 1ж, Сочи, Россия, 354200","25.06.2015"
1695,"Стадион "БАМ"","Амурская область","п.Сокольники, Тында, Россия, 676282","25.06.2015"
1696,"Воздухоопорный универсальный спортивный комплекс с ледовой ареной г. Армавир","Краснодарский край","Луначарского, 93, Армавир, Россия, 352900","25.06.2015"
1697,"Универсальный спортивный комплекс с плавательным бассейном г. Армавир","Краснодарский край","Володарского, 70а, Армавир, Россия, 352900","25.06.2015"
1698,"Стадион КГБУ ДО "СДЮСШОР по конькобежному спорту "Клевченя"","Алтайский край","Бульвар 9 Января, 29 А, Барнаул, Россия, 656038","25.06.2015"
1699,"Спортивный зал","Амурская область","Профсоюзная, 12, Тында, Россия, 676282","25.06.2015"
1700,"МОУ ДОД "СДЮСШОР №1"","Ярославская область","Крестовая, 92, Рыбинск, Россия, 152934","25.06.2015"
1701,"Здание физкультурно-оздоровительного комплекса","Рязанская область","Новая, 12А, Поляны, Россия, 390525","25.06.2015"
1702,"Спортивный корпус специализированной детско-юношеской спортивной школы олимпийского резерва №1","Санкт-Петербург","набережная реки Фонтанки, 33сА, Санкт-Петербург, Россия, 191023","25.06.2015"
1703,"Стадион "Труд"","Иркутская область","ж.р. Падун, ул. Набережная, 40сА, Братск, Россия, 665729","25.06.2015"
1704,"Стадион","Хабаровский край","Воровского, 17, Хабаровск, Россия, 680011","25.06.2015"
1705,"Спортивный комплекс "Дельфин"","Томская область","Ленина , 46, Северск, Россия, 636070","25.06.2015"
1706,"Спортивный зал дома спорта "Металлург"","Иркутская область","28, Братск, Россия, 665729","25.06.2015"
1707,"Стадион "Локомотив"","Иркутская область","Малышева, 1Ж, Братск, Россия, 665729","25.06.2015"
1708,"Зал спортивный специализированный для спортивной гимнастики","Приморский край","Пограничная, 12 Б, Владивосток, Россия, 690091","24.06.2015"
1709,"Лыжная трасса","Рязанская область","Автозаводский м-н, южнее д.5, Скопин, Россия, 391803","24.06.2015"
1710,"Универсальный спортивный зал","Волгоградская область","Пугачевская, 7г, Волгоград, Россия, 400074","24.06.2015"
1711,"Лыжная база СДЮСШОР "Олимп"","Красноярский край","Ручейная, 2, Зеленогорск, Россия, 663690","24.06.2015"
1712,"Спортивный зал спортивного комплекса","Омская область","Вавилова, 45, Омск, Россия, 644050","30.06.2015"
1713,"Стадион "Старт"","Московская область","2-ой Кардолентный проезд, 8, Ногинск, Россия, 142400","30.06.2015"
1714,"Футбольное поле РРО ОГО ВФСО "Динамо"","Ростовская область","Текучева, 147-149/2/1, Ростов-на-Дону, Россия, 344000","30.06.2015"
1715,"Плавательный бассейн "Дельфин"","Самарская область","проспект Победы, 1 В, Новокуйбышевск, Россия, 446200","30.06.2015"
1716,"Спортивный комплекс МОАУДОД "ДЮСШ "Надежда" г.Орска","Оренбургская область","Комарова, 13, Орск, Россия, 462430","30.06.2015"
1717,"Универсальный игровой зал ФОК МОАУДО "СДЮСШОР "Юность" г.Орска","Оренбургская область","Орский проспект, 14, Орск, Россия, 462432","30.06.2015"
1718,"Спортивный стадион","Ростовская область","бул. Петровский, 46-а, Азов, Россия, 346780","29.06.2015"
1719,"Физкультурно-оздоровительный комплекс с универсальным игровым залом МБОУ ДОД "Отрадненская ДЮСШ"","Ленинградская область","Железнодорожная, 20а, Отрадное, Россия, 187342","26.06.2015"
1720,"Зал спортивный специализированный ГАУ "СК "МАЯК" для атлетизма тренировочный","Республика Татарстан","Рогачева, 34б, Зеленодольск, Россия, 422544","29.06.2015"
1721,"Спорткомплекс","Свердловская область","Юго-Западная часть 57 кв. первоуральского лесничества Билимбаевского лесхоза, Первоуральск, Россия, 623100","29.06.2015"
1722,"Физкультурно-оздоровительный комплекс МАУ "ДЮСШ "Ника"","Ленинградская область","Заводская , 2, Сиверский, Россия, 188330","29.06.2015"
1723,"Футбольное поле","Вологодская область","Варенцовой, 1, Вологда, Россия, 160019","26.06.2015"
1724,"Велотрек "Сатурн"","Пензенская область","2-й Виноградный проезд, 32, Пенза, Россия, 440066","26.06.2015"
1725,"Спортивный зал МБОУ ДОД "ДЮСШ"","Архангельская область","Ленина, 85, Плесецк, Россия, 164262","26.06.2015"
1726,"Спортивно-оздоровительный комплекс","Сахалинская область","Калинина, 81 а, Анива, Россия, 694030","26.06.2015"
1727,"МБУ ДОД СДЮСШОР №3 г. Иваново","Ивановская область","Лежневская, 158 А, Иваново, Россия, 153043","26.06.2015"
1728,"МАУ "Дворец спорта "Радуга"","Московская область","Макаренко, 46, Дубна, Россия, 141980","19.06.2014"
1729,"Физкультурно-оздоровительный комплекс им. А.А. Парашина","Московская область","Социалистическая, 63, Руза, Россия, 143103","01.07.2015"
1730,"МБУ Петрозаводского г.о. "Дом бокса имени Леонида Левина"","Республика Карелия","Шотмана, 38-а, Петрозаводск, Россия, 185001","01.07.2015"
1731,"Физкультурно-оздоровительный комплекс","Московская область","Зины Голициной, 24, Талдом, Россия, 141900","01.07.2015"
1732,"Спортивный комплекс "Строймаш" (большой игровой зал)","Тюменская область","Индустриальная, 49а, Тюмень, Россия, 625048","01.07.2015"
1733,"Юрьев-Польский районный физкультурно-оздоровительный комплекс","Владимирская область","Луговая, 25А, Юрьев-Польский, Россия, 601800","01.07.2015"
1734,"Физкультурно-оздоровительный комплекс","Нижегородская область","Арктическая, 7, Нижний Новгород, Россия, 603032","01.07.2015"
1735,"Плавательный бассейн МАУ СКК "Прогресс"","Удмуртская Республика","Ленина, 8б, Глазов, Россия, 427620","01.07.2015"
1736,"Дом спорта МАУ СКК "Прогресс"","Удмуртская Республика","Парковая, 45, Глазов, Россия, 427620","01.07.2015"
1737,"Центральный стадион","Ростовская область","Красноармейская, 111, Семикаракорск, Россия, 346630","01.07.2015"
1738,"Шахматный зал","Тюменская область","Олимпийская, 19/1, Тюмень, Россия, 625032","01.07.2015"
1739,"Малозатратный спортивный зал","Ростовская область","Гайдара, 6А, Донской, Россия, 347357","01.07.2015"
1740,"Лыжный комплекс ООО "ЦЛСиО "Карпово"","Вологодская область","Батранский с/с, Россия, 162610","01.07.2015"
1741,"Центральная спортивная арена: футбольное поле","г. Москва","Восточная, 4А, Москва, Россия, 115280","01.07.2015"
1742,"Футбольное поле стадиона "Янтарь" с трибунами","Томская область","Мира, 33, ЗАТО Северск, Россия, 636071","01.07.2015"
1743,"Зал бокса Дворца бокса МБОУ ДОД "ДЮСШ №3"","Вологодская область","Архангельская, 17А , Череповец, Россия, 162606","01.07.2015"
1744,"Здание бассейна МОУ ДОД "ДЮСШ "Богатырь"","Ленинградская область","3 мкрн., 43, Тихвин, Россия, 187556","01.07.2015"
1745,"Цех здоровья","Тюменская область","60 лет СССР , 29 а, Ноябрьск, Россия, 629802","01.07.2015"
1746,"Ледовая арена ГПОО "СКК им. В.Блинова"","Омская область","Декабристов, 91, Омск, Россия, 644010","01.07.2015"
1747,"Зал спортивный крытый универсальный с покрытием из дерева","Белгородская область","Б.Хмельницкого, 58, Белгород, Россия, 308002","01.07.2015"
1748,"Футбольное поле с искусственным покрытием","Московская область","примерно в 26 м на север от д. 3 по ул.Жуковского, Дубна, Россия, 141983","01.07.2015"
1749,"Многофункциональный комплекс "Дворец спорта МАУ ФСК "Атлет"","Мурманская область","Победы, 4, Апатиты, Россия, 184209",
1750,"МБОУ ДОД "ДЮСШ №1"","Нижегородская область","Чапаева, 70, Дзержинск, Россия, 606032","01.07.2015"
1751,"Здание детской спортивной школы","Краснодарский край","Советская, 44, Супсех, Россия, 353411","01.07.2015"
1752,"Спортивный зал ОблСДЮСШОР","Тульская область","Пушкинская, 1-а, Тула, Россия, 300041","01.07.2015"
1753,"МБУ "Белоярский спортивный комплекс"","Ханты-Мансийский автономный округ","Лесная, 9/1, Белый Яр, Россия, 628433","01.07.2015"
1754,"Здание бассейна "Урал"","Челябинская область","Васильева, 3а, Снежинск, Россия, 456770","14.07.2015"
1755,"Сооружение-комплекс стадион "Локомотив"","Вологодская область","Молодежная, 26, Вологда, Россия, 160035","14.07.2015"
1756,"Детский санаторно-реабилитационный центр - спортзал (Центр спортивных единоборств им. А.С. Рахлина)","Нижегородская область","100 квартал Игумновского лесничества Дзержинского лесхоза, 5км+500м Речного шоссе, 5, Дзержинск, Россия, 606017","14.07.2015"
1757,"Специализированный центр по боксу для СДЮСШОР "Алмаз"","Челябинская область","Хохрякова, 1, Челябинск, Россия, 454077","14.07.2015"
1758,"Здание бассейна АУ "ИГС"","Тюменская область","Артиллерийская, 23, Ишим, Россия, 627750","14.07.2015"
1759,"МАУ ДО СДЮСШ по боксу","Оренбургская область","Красная Площадь, 3/5, Оренбург, Россия, 460000","14.07.2015"
1760,"Спорткомплекс с гостиницей на 25 мест","Тюменская область","Юности, 12, Советский, Россия, 628240","14.07.2015"
